"","Soil_ID","Block","Treatment","Weight_g","Weight_kg","value","POXC_mgkgsoil"
"1","RA1","Block_20","Reference_20",2.55,0.00255,0.297166675329208,212.300865665977
"2","RA2","Block_20","Reference_20",2.53,0.00253,0.308900008598963,158.297164719722
"3","RA3","Block_20","Reference_20",2.55,0.00255,0.277099996805191,306.782850690066
"4","RA4","Block_20","Reference_20",2.5,0.0025,0.298500001430511,210.143491281141
"5","RB1","Block_20","Reference_20",2.5,0.0025,0.288733333349228,257.048596678248
"6","RB2","Block_20","Reference_20",2.51,0.00251,0.324833343426387,83.3424080444014
"7","RB3","Block_20","Reference_20",2.53,0.00253,0.293399999539057,231.854354211057
"8","RB4","Block_20","Reference_20",2.52,0.00252,0.275233328342438,319.328683861487
"9","RC1","Block_21","Reference_21",2.55,0.00255,0.301399995883306,192.368691603604
"10","RC2","Block_21","Reference_21",2.54,0.00254,0.286100000143051,265.448192192696
"11","RC3","Block_21","Reference_21",2.53,0.00253,0.188900003830592,727.771869901723
"12","RC4","Block_21","Reference_21",2.5,0.0025,0.291100005308787,245.682489344649
"13","RD1","Block_21","Reference_21",2.49,0.00249,0.285066664218903,275.761075495961
"14","RD2","Block_21","Reference_21",2.54,0.00254,0.30689999461174,167.127891256598
"15","RD3","Block_21","Reference_21",2.53,0.00253,0.290999998648961,243.243852086179
"16","RD4","Block_21","Reference_21",2.52,0.00252,0.286366671323776,266.284381252581
